plate,numinSet,sample,pop,individual,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,run.date,SampleWeight,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
NA,129,AO-F-8-16,8,16,138,1746,6,6,NA,NA,138,22:46:30 Wed 04-May-16,91.5,23.0968983891,28.278922459,855.0528170129,32.6145025157,2022.6542503812,113.3325294664,19532.237555351,1458.9002127974,52.7735566907,14.8251249702,0.0424607475,0.3948231328,6.2326844244,19.3524059501,0.0057895092,-0.41196163,12.2300890141,9.5805622339,0.1523044113,0.0259127508
NA,135,AO-F-8-17,8,17,150,1758,6,6,NA,NA,150,23:31:32 Wed 04-May-16,137.4,23.160664962,8.0577044756,818.0750885222,17.5703521305,2297.3657467189,563.0620177909,19355.8514796996,398.2800817895,44.6102365699,12.0315486821,0.024996323,0.9308084714,4.5563957004,29.7573180083,0.0025504169,0.0574892006,15.9101307295,1.756377871,0.2211120025,0.094858909
NA,122,AO-F-8-18,8,18,146,1754,6,6,NA,NA,146,23:16:32 Wed 04-May-16,118,5.2329213672,7.9601222489,1315.9359658931,41.1627791843,2590.6391152483,696.1558189309,21068.3788294456,2596.0393681235,56.1600311381,13.2114689373,0.0823133833,0.372561981,4.2717869725,31.7550664258,0.0054350267,0.0920060458,16.0865789751,14.8022641516,0.2495864354,0.0234920167
NA,106,AO-F-8-19,8,19,110,1718,6,6,NA,NA,110,21:01:21 Wed 04-May-16,135.8,12.7550145186,25.1142799263,1343.3528535246,83.7982924974,2666.2557597926,1426.331591862,19882.750830678,3589.167819273,103.2660946377,37.3135750249,0.061785315,0.5746992438,8.1512134263,142.2387087284,0.0153018527,-0.8954316252,9.8958966484,18.8815853816,1.1282908822,0.0431601048
NA,103,AO-F-8-20,8,20,114,1722,6,6,NA,NA,114,21:16:25 Wed 04-May-16,161.5,16.4383406914,21.3233468623,1403.6420608689,46.2529219743,3179.6168440056,1190.2453353673,23311.2064247782,2920.2460574214,67.8336344657,25.6716006478,0.0425215259,0.3297986886,9.7890699778,35.2726556721,0.0090121903,-0.0096569072,15.0594465223,15.6912830116,0.5387677272,0.0280052735
NA,98,AO-F-9-1,9,1,119,1727,6,6,NA,NA,119,21:35:10 Wed 04-May-16,124,35.1999545494,25.9833948999,2240.0002908279,25.3220439102,3223.5781540826,1884.6905371479,22943.8606316083,5135.7294357629,62.5042697099,16.0671976085,0.0269173427,0.4132113401,7.870145444,94.1172366729,0.006552079,-0.0900653009,32.3044699943,69.219497565,0.2696216994,0.0164719386
NA,66,AO-F-9-2,9,2,74,1682,6,6,NA,NA,74,18:46:18 Wed 04-May-16,107.4,31.5168279901,477.5826020166,1233.5317946797,12.8007108827,2537.1942481089,1039.0514695952,13614.6521045175,2916.0176527511,41.2908431356,26.2751519793,0.0206977623,1.5254284008,10.4985486553,108.7840543791,0.0026404212,0.5312506381,23.6576520734,31.9104110214,0.1699860631,0.0386325457
NA,78,AO-F-9-3,9,3,88,1696,6,6,NA,NA,88,19:38:48 Wed 04-May-16,184.9,22.4381319247,80.4888109546,1217.8171306314,33.0347023451,2600.9767294444,1028.113373433,22703.8947121442,1888.8880782239,40.0898592476,21.5224383287,0.0173049118,0.3174769407,4.6230683999,43.5182558206,0.0089060997,-0.1018054184,43.427481087,18.8145070059,0.1312042666,0.0192861784
NA,93,AO-F-9-4,9,4,104,1712,6,6,NA,NA,104,20:38:52 Wed 04-May-16,110.9,31.2004742919,48.189377834,2734.8751284513,18.1238155678,2242.3417030128,1044.5793138859,19486.9819814945,5404.5806459062,45.8585837074,24.5608467643,0.0139530047,0.3104552995,3.9953401138,58.061993295,0.0223424748,0.4633493082,43.1042416169,65.3421198842,0.2066466213,0.0223852647
NA,91,AO-F-9-5,9,5,102,1710,6,6,NA,NA,102,20:31:22 Wed 04-May-16,133.7,32.9145948326,190.7501890888,946.1118417405,24.3664907792,2192.3257155383,807.447530819,14909.7405372894,1427.1410429666,40.2463082836,17.1701403256,0.0154507904,0.4915910427,5.5362401948,144.3388058527,0.0275343871,0.0974689479,22.2310884508,13.2256694766,0.1785425583,0.0229033075
