plate,numinSet,sample,sampleid,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,run.date,SampleWeight,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
NA,50,AO-1-239,239,66,1998,7,7,NA,NA,66,20:22:37 Thu 05-May-16,99.9,8.5379960172,273.4796370114,1958.4759979379,38.938026731,479.00025291,1270.1344362067,39043.2654109475,8855.4376698593,111.8087985429,78.0265864546,0.0702536399,0.2115436313,17.4522405441,22.5470870872,0.3693255084,0.3907478192,22.3080933248,62.576364079,9.2126468267,0.6203513275
NA,33,AO-1-240,240,32,1964,7,7,NA,NA,32,18:15:01 Thu 05-May-16,114.4,9.1864073079,503.0713284241,978.4038812324,28.3604001593,823.3891744036,907.4808991629,45359.6719676708,3730.1675495913,88.6219843773,38.8460596632,0.0416910664,0.2472046289,5.6510579256,17.6427655169,0.0141417293,0.0734432159,39.3182606303,35.1352554561,4.7205625659,0.0645587032
NA,57,AO-1-241,241,58,1990,7,7,NA,NA,58,19:52:35 Thu 05-May-16,117.3,6.8017457649,172.4309324834,2101.9271460182,42.2395625983,903.4911931237,911.8722355107,39933.5240605565,9137.7160074973,87.0299107453,88.1862202265,0.0598873753,0.2774488537,5.2959133679,12.768529403,0.1330015762,0.1611375119,16.1001394329,75.5647485549,4.6196040253,0.0757528816
NA,23,AO-1-242,242,26,1958,7,7,NA,NA,26,17:52:29 Thu 05-May-16,110.9,6.3586106457,283.8754745462,2456.954438229,53.9347884973,975.7412169788,1058.9676229024,33342.6368517763,14256.0353636796,120.5971533167,139.8313411864,0.08389551,0.438846973,12.606271286,16.5614601934,0.2106353695,0.2983387229,22.0425242161,104.903724367,6.173693808,0.1730146317
NA,28,AO-1-243,243,37,1969,7,7,NA,NA,37,18:33:46 Thu 05-May-16,114.1,33.8064578357,600.2197701292,3346.3582687033,138.5554552635,1083.1298377254,793.8059205541,22900.4696911529,12428.4718837171,263.7741237466,102.1552711653,0.1090141285,0.6003540856,12.9801797736,161.0178919796,0.0057907194,0.0243683611,13.6555044457,88.2698746093,8.0109708535,0.0226955451
NA,34,AO-1-244,244,30,1962,7,7,NA,NA,30,18:07:29 Thu 05-May-16,48.3,23.451904988,74.2022378908,4168.2288420807,112.7819152974,598.7617608923,987.1777588353,51789.447112975,18298.7062456995,289.8334021717,207.1109616103,0.2444190498,1.2016090657,10.6149219493,38.2099649491,0.7421619588,0.5330487764,18.8556078295,124.6318098134,14.2416608798,0.2095786827
NA,38,AO-1-245,245,43,1975,7,7,NA,NA,43,18:56:17 Thu 05-May-16,105.6,8.6655477105,258.4095300076,1589.3491890874,28.1909973989,429.5446316973,828.3531605077,37337.0812360282,9361.7496096299,86.8363037334,63.0821858836,0.0252181229,0.3484819095,7.439602693,11.6766848172,0.0016216119,0.0322209209,19.3798618854,61.6224293323,11.1360984658,0.0455604628
NA,16,AO-1-246,246,18,1950,7,7,NA,NA,18,17:22:27 Thu 05-May-16,105.1,9.3602613835,413.5028255661,1478.7441874134,47.5494166637,1409.4020202098,1240.011271073,27465.2479191243,11162.9053559064,105.6753101058,151.1543090337,0.0919727074,0.244850173,8.5840179254,13.3377005352,0.2905164799,0.5977306118,28.7794478371,68.5485756376,3.7557565912,0.0371911338
NA,26,AO-1-247,247,39,1971,7,7,NA,NA,39,18:41:16 Thu 05-May-16,109.7,21.3513155868,768.6192771348,2484.5083579497,65.6747927821,1355.1931913349,1213.2777178798,43713.234643229,6082.6345219022,161.0572567423,121.0221612568,0.0459339418,0.3672963031,8.3045780534,20.3081632145,0.0029958818,0.0264641098,51.2238777021,40.9587619582,7.0551907357,0.0246682866
NA,6,AO-1-248,248,8,1940,7,7,NA,NA,8,16:44:55 Thu 05-May-16,103.7,15.9389250572,536.6744451728,1707.209215477,41.7623457716,1075.5323519705,964.2831181315,32158.3903146302,4758.5294627068,91.609174934,67.9132294176,0.0680878781,0.2033474073,6.7790303184,12.2716823905,0.1363793923,0.1395484445,39.885814729,34.5883460749,2.7256166521,0.0554292723
NA,7,AO-1-249,249,7,1939,7,7,NA,NA,7,16:41:10 Thu 05-May-16,115.7,9.8357395258,299.0236693581,1926.5262983266,154.1304736845,1058.4959835932,792.0879373378,25486.9397004061,9423.7659365953,262.5032468133,160.8187073342,0.1467466477,0.6196268697,11.3497798026,275.2546146796,0.3433974602,0.4339358818,26.1640306244,52.0108177159,6.2495528628,0.0899870221
NA,47,AO-1-250,250,53,1985,7,7,NA,NA,53,19:33:50 Thu 05-May-16,104.2,7.8871069564,379.6693044491,828.0001430934,32.5563007879,510.4625126264,538.7608043934,32421.0716510822,7167.0962420888,90.6423991233,85.2863494857,0.1025009127,0.9381764848,6.5901062547,8.1699828166,0.2061313383,0.2071299392,13.8104428089,54.7219696996,6.8837515268,0.1088203119
NA,135,AO-1-251,251,150,2082,7,7,NA,NA,150,01:38:01 Fri 06-May-16,109.8,20.5008800209,1494.6736203398,1930.3439551015,84.4666429805,1564.0400007351,1603.2941835045,47612.8215003113,8988.5856179017,146.1963470285,87.4441326634,0.194602307,0.7251629801,9.7413931929,22.0569850307,0.2255618575,0.4565954818,43.7250560509,56.6969000604,5.9064729988,0.1570749997
NA,126,AO-1-252,252,142,2074,7,7,NA,NA,142,01:08:01 Fri 06-May-16,112.2,10.3646128051,179.6383600685,1252.055950822,26.2109248205,901.1501315409,1071.0104951745,30787.0177058562,7089.4507181984,75.5736689974,75.7472422358,0.0386740186,0.4442999772,4.9804204676,13.7282261191,0.0682488173,0.2945232917,25.2493505096,51.710293347,3.2124533171,0.1069094483
NA,122,AO-1-253,253,146,2078,7,7,NA,NA,146,01:23:01 Fri 06-May-16,106.2,11.7274774276,133.9889960563,1072.6566191115,51.7780885325,576.1047326127,1088.5629260221,30375.6626613061,3052.9747781503,110.1387145876,40.6522851079,0.0941887144,0.4228000407,10.8125174965,15.9114252278,0.0380029745,0.2334809845,18.3063505795,21.8401814592,8.5690713878,0.0572747944
NA,129,AO-1-254,254,138,2070,7,7,NA,NA,138,00:52:58 Fri 06-May-16,104,6.1551337833,69.1382175462,3271.2247383443,42.0522717102,933.8539893413,1445.3970455961,46732.8457444778,11695.6030819446,118.307433964,112.9058175437,0.0754116071,0.3548766036,7.3359249025,18.9964069306,0.0753901943,0.1960232316,31.578311974,103.2573364832,8.6135215106,0.1418543787
NA,140,AO-1-255,255,156,2088,7,7,NA,NA,156,02:00:35 Fri 06-May-16,111.5,8.3849847749,255.5751427238,1402.328448527,25.9931986363,650.0258873175,1458.9787556062,39466.1301443225,8699.9539808594,89.679269924,97.1946331885,0.0559438069,0.4462615817,10.8958727902,13.9542461406,0.0934187824,0.2487733856,19.2722730529,54.0450029785,11.0208587692,0.0651498791
NA,136,AO-1-256,256,152,2084,7,7,NA,NA,152,01:45:35 Fri 06-May-16,112.5,7.5496013623,118.8624441564,1283.9404716189,30.3434434278,1100.4608446256,931.0952140748,31765.704451147,3593.4180360588,74.7431773709,127.0553372442,0.0476429206,0.2596716803,6.0121219965,13.0410502809,0.0363022661,0.2565850104,22.9143494292,24.8310585264,2.1099943232,0.1437808149
NA,132,AO-1-257,257,135,2067,7,7,NA,NA,135,00:41:43 Fri 06-May-16,100.5,9.7673206164,500.2463435565,1824.3180142025,32.3371106106,679.9945262681,987.8580048533,34336.6567552475,13863.1204217274,75.5432845427,124.0665486713,0.0674001386,0.3871800911,7.6634777889,10.7388563465,0.075655545,0.3427980453,19.2745615032,112.8136272021,4.9282938175,0.0811204706
NA,137,AO-1-258,258,153,2085,7,7,NA,NA,153,01:49:20 Fri 06-May-16,105.7,8.0327015911,401.4374005403,2062.6940230362,61.3989601106,1301.74016954,902.1196718241,41600.3072328645,6029.8601664235,111.4170632958,77.5659470468,0.0776411468,0.5683538705,7.2141098632,21.6745940782,0.0548849596,0.1620979074,29.6644255372,43.2394668365,1.6883707883,0.2850573487
NA,133,AO-1-259,259,148,2080,7,7,NA,NA,148,01:30:31 Fri 06-May-16,110.6,9.1050024968,261.8056393898,1264.5964418633,28.2095316017,1271.8861265661,950.2752291965,35880.4282799743,3870.4157128002,68.3928786416,42.1734350096,0.0461808536,0.3234048792,7.0736347262,15.5765624742,0.0676218103,0.3076364469,33.5102085085,35.4763976966,3.2045297827,0.0529964199
NA,125,AO-1-260,260,143,2075,7,7,NA,NA,143,01:11:46 Fri 06-May-16,118.4,7.8497646778,364.7995727518,904.3999589199,43.6033418057,969.4550275368,1394.6434082938,33804.506319195,3377.7190144233,97.8018521278,69.1903830243,0.0746549953,0.3687516692,7.2941385409,10.2020484712,0.0643493284,0.3876479752,30.7767934869,29.4114576671,4.765767692,0.1381702031
NA,130,AO-1-261,261,137,2069,7,7,NA,NA,137,00:49:13 Fri 06-May-16,105.7,10.5600564574,720.8790218223,1255.5919431359,42.2624407037,1054.1212016742,1082.6250162821,32906.8299361399,5025.9824703371,101.2511230973,91.0988065879,0.0586938494,0.277540648,7.2568377594,12.2150160059,0.080082832,0.2328381617,19.2396069702,37.3820121187,3.9276655677,0.2341848277
