germday,harvestage,biomass,shoot.root,shoot,root,hairs,final.height,final.stem,final.lvs,avggerm,seeds.planted,totgerms
2,50,3.34,0.9880952381,1.66,1.68,4,27.2,5.38,8,2.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,4.23,1.64375,2.63,1.6,0,37.3,5.68,6,3,3,2
28,49,1.15,1.3469387755,0.66,0.49,0,18.7,4,5,34,3,2
2,50,1.26,1.2105263158,0.69,0.57,0,21.1,4.05,6,14,3,2
2,50,3.48,1.1886792453,1.89,1.59,0,44.3,6.88,6,2,3,3
2,50,3.85,0.9543147208,1.88,1.97,0,44.2,5.18,6,2,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
6,50,5.35,1.8157894737,3.45,1.9,4,43.4,6.16,6,6,3,1
2,50,2.17,1.7125,1.37,0.8,7,30.2,6.14,7,2,3,3
3,50,3.22,1.6178861789,1.99,1.23,5,49.2,5.81,7,3,3,3
6,50,1.87,1.8333333333,1.21,0.66,0,29.6,8.02,6,6,2,2
3,50,3.94,1.0102040816,1.98,1.96,11,29.4,9.16,7,4,3,2
2,50,3.56,1.4054054054,2.08,1.48,0,34.3,7.03,7,2,3,1
2,50,3.05,1.5416666667,1.85,1.2,0,49.6,4.69,7,2,3,2
2,50,3.82,1.5298013245,2.31,1.51,0,40.3,5.53,7,3.5,3,2
3,50,3.28,1.6451612903,2.04,1.24,0,48.4,4.62,6,18.6666666667,3,3
5,50,2.42,2.5588235294,1.74,0.68,35,46.2,6.06,7,7.6666666667,3,3
19,49,3.57,2.57,2.57,1,0,39.7,6.2,6,29.5,3,2
7,51,4.22,1.4534883721,2.5,1.72,2,47.6,5.69,6,7,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,3.5,1.1604938272,1.88,1.62,0,35.2,4.85,7,6,3,3
2,50,3.46,1.2763157895,1.94,1.52,0,42.3,4.61,7,2,3,2
5,50,4.97,1.6436170213,3.09,1.88,23,37.6,7.34,6,5,3,1
4,50,1.67,1.1973684211,0.91,0.76,1,20.6,6.12,6,11.5,3,2
15,50,3.09,1.0878378378,1.61,1.48,0,16.9,7.8,6,15,3,1
3,50,2.09,1.7142857143,1.32,0.77,6,34.3,5.05,6,3,3,3
2,50,2.49,1.7065217391,1.57,0.92,0,49.7,3.02,7,2,3,2
15,50,3.7,2.1092436975,2.51,1.19,9,38,5.9,5,17,3,2
3,50,3.75,2.2327586207,2.59,1.16,8,72.2,3.61,7,3,3,1
2,50,2.45,0.8014705882,1.09,1.36,0,32.4,5.02,7,2,3,3
35,66,3.58,1.7538461538,2.28,1.3,10,29.5,5.5,6,35,3,1
7,51,3.32,1.338028169,1.9,1.42,7,35.4,5.4,6,11,2,2
2,50,3.16,1.0927152318,1.65,1.51,4,33.7,7.51,5,2,3,3
4,50,2.28,1.0917431193,1.19,1.09,22,31,5.38,6,11.6666666667,3,3
3,50,3.68,0.8492462312,1.69,1.99,0,31.3,6.74,7,4,3,3
2,50,2.76,0.7692307692,1.2,1.56,7,25.5,6.34,7,15,3,3
