Number....Ladpt...1.,Plant,Mom,soil.abv,soil.full,soil.combo,SA,SAN
AMO-1-376,CU,109,M,M,M,A,A
AMO-1-377,TX,36,M,M,M,A,A
AMO-1-378,TP,11,H,TP,H,S,S
AMO-1-379,TX,28,H,TX,H,S,S
AMO-1-380,TC,107,N,N,N,A,NA
AMO-1-381,FP,80,M,M,M,A,A
AMO-1-382,TP,8,H,TP,H,S,S
AMO-1-383,DA,55,M,M,M,A,A
AMO-1-384,TX,30,TX,TX,H,S,S
AMO-1-385,TP,2,TX,TX,TX,A,A
AMO-1-386,CU,111,H,CU,H,S,S
AMO-1-387,FP,76,TP,TP,TP,A,A
AMO-1-388,MC,72,TC,TC,TC,A,A
AMO-1-389,CU,114,N,N,N,A,NA
AMO-1-390,MT,45,TP,TP,TP,A,A
AMO-1-391,M,16,TC,TC,TC,A,A
AMO-1-392,TC,103,M,M,M,A,A
AMO-1-393,CU,118,N,N,N,A,NA
AMO-1-394,CL,94,TC,TC,TC,A,A
AMO-1-395,FP,73,TX,TX,TX,A,A
AMO-1-396,TP,1,TX,TX,TX,A,A
AMO-1-397,DA,53,TC,TC,TC,A,A
AMO-1-398,MT,46,N,N,N,A,NA
AMO-1-399,FP,82,TC,TC,TC,A,A
AMO-1-400,DA,58,H,DA,H,S,S
AMO-1-401,M,13,M,M,H,S,S
AMO-1-402,TP,9,TP,TP,H,S,S
AMO-1-403,M,23,N,N,N,A,NA
AMO-1-404,TC,108,H,TC,H,S,S
AMO-1-405,M,22,M,M,H,S,S
AMO-1-406,CU,112,TP,TP,TP,A,A
AMO-1-407,MC,67,TC,TC,TC,A,A
AMO-1-408,M,20,M,M,H,S,S
AMO-1-409,TC,105,TC,TC,H,S,S
AMO-1-410,MC,66,M,M,M,A,A
AMO-1-411,MT,43,H,MT,H,S,S
AMO-1-412,FP,78,N,N,N,A,NA
AMO-1-413,DA,54,TC,TC,TC,A,A
AMO-1-414,TX,26,TP,TP,TP,A,A
AMO-1-415,FP,73,TP,TP,TP,A,A
AMO-1-416,TP,1,H,TP,H,S,S
AMO-1-417,CU,120,N,N,N,A,NA
AMO-1-418,DA,59,TP,TP,TP,A,A
AMO-1-419,TC,104,N,N,N,A,NA
AMO-1-420,CL,89,TC,TC,TC,A,A
AMO-1-421,CL,86,TX,TX,TX,A,A
AMO-1-422,TC,105,H,TC,H,S,S
AMO-1-423,CU,112,TC,TC,TC,A,A
AMO-1-424,TP,8,TP,TP,H,S,S
AMO-1-425,CL,87,TC,TC,TC,A,A
AMO-1-426,MT,48,TC,TC,TC,A,A
AMO-1-427,TC,101,H,TC,H,S,S
AMO-1-428,TP,4,TX,TX,TX,A,A
AMO-1-429,MC,67,N,N,N,A,NA
AMO-1-430,MC,68,TP,TP,TP,A,A
AMO-1-431,M,15,TP,TP,TP,A,A
AMO-1-432,CL,91,TC,TC,TC,A,A
AMO-1-433,CL,88,H,CL,H,S,S
AMO-1-434,DA,55,TX,TX,TX,A,A
AMO-1-435,M,15,TC,TC,TC,A,A
AMO-1-436,DA,57,H,DA,H,S,S
AMO-1-437,TX,31,N,N,N,A,NA
AMO-1-438,DA,59,M,M,M,A,A
AMO-1-439,DA,54,N,N,N,A,NA
AMO-1-440,DA,59,N,N,N,A,NA
AMO-1-441,TX,25,TX,TX,H,S,S
AMO-1-442,FP,74,TP,TP,TP,A,A
AMO-1-443,TP,3,H,TP,H,S,S
AMO-1-444,FP,78,TX,TX,TX,A,A
AMO-1-445,TP,7,N,N,N,A,NA
AMO-1-446,MT,37,TX,TX,TX,A,A
AMO-1-447,TP,7,TP,TP,H,S,S
AMO-1-448,TX,32,TP,TP,TP,A,A
AMO-1-449,TX,25,H,TX,H,S,S
AMO-1-450,FP,84,TP,TP,TP,A,A
AMO-1-451,MT,47,TC,TC,TC,A,A
AMO-1-452,DA,57,M,M,M,A,A
AMO-1-453,TC,98,TP,TP,TP,A,A
AMO-1-454,M,13,TP,TP,TP,A,A
AMO-1-455,MC,61,TX,TX,TX,A,A
AMO-1-456,FP,78,H,FP,H,S,S
AMO-1-457,CL,86,N,N,N,A,NA
AMO-1-458,M,24,TC,TC,TC,A,A
AMO-1-459,TP,2,M,M,M,A,A
AMO-1-460,MT,37,TP,TP,TP,A,A
AMO-1-461,TX,36,H,TX,H,S,S
AMO-1-462,MC,69,M,M,M,A,A
AMO-1-463,CU,114,TX,TX,TX,A,A
AMO-1-464,DA,57,TC,TC,TC,A,A
AMO-1-465,DA,49,TX,TX,TX,A,A
AMO-1-466,MT,38,TX,TX,TX,A,A
AMO-1-467,FP,76,TX,TX,TX,A,A
AMO-1-468,MT,45,N,N,N,A,NA
